Timestamp;Temp;Hum;OFFCHIP_PLATINUM_78kHz_IN-PHASE;OFFCHIP_GOLD_78kHz_IN-PHASE;OFFCHIP_PLATINUM_200Hz_IN-PHASE;OFFCHIP_PLATINUM_200Hz_QUADRATURE;OFFCHIP_GOLD_200Hz_IN-PHASE;OFFCHIP_GOLD_200Hz_QUADRATURE;OFFCHIP_SILVER_200Hz_IN-PHASE;OFFCHIP_SILVER_200Hz_QUADRATURE;OFFCHIP_NICKEL_200Hz_IN-PHASE;OFFCHIP_NICKEL_200Hz_QUADRATURE;DISTANCE;STATE;FILTERED_ANALYTE;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;ANALYTE;CONFIDENCE DEGREE;CONCENTRATION;RELIABILITY;
1.25;----;----;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1622777;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
2.337;----;----;921.0;13136.0;6344.0;-5549.0;2287.0;-2183.0;5544.0;-2881.0;1353.0;-2044.0;84.03043;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
3.431;----;----;921.1875;13135.875;6346.125;-5553.5;2288.125;-2184.375;5544.8125;-2882.3125;1353.1875;-2044.6875;89.0024;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
4.522;----;----;921.3633;13135.695;6350.5547;-5556.9062;2289.4297;-2185.414;5543.949;-2882.8555;1353.2383;-2044.832;129.77362;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
5.612;----;----;921.5906;13135.527;6355.3325;-5563.3496;2291.7153;-2187.1382;5544.702;-2883.802;1352.9109;-2045.405;87.730385;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
6.705;----;----;921.80365;13135.182;6360.4365;-5565.5776;2292.5457;-2187.6296;5546.2207;-2883.877;1352.604;-2044.8798;107.56829;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
7.798;----;----;921.9409;13134.857;6365.034;-5570.604;2293.699;-2189.0278;5546.582;-2884.7598;1352.0038;-2045.0123;155.89543;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
8.884;----;----;922.0696;13134.304;6367.7197;-5579.504;2295.4678;-2191.8386;5546.4834;-2887.3374;1351.7535;-2046.3866;176.67877;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
9.973;----;----;922.25275;13133.723;6372.55;-5589.035;2296.9385;-2194.8486;5545.328;-2889.9414;1350.8939;-2047.9249;116.410866;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
11.063;----;----;922.42444;13133.24;6377.328;-5594.4707;2298.0674;-2196.7332;5544.3076;-2890.82;1350.7755;-2048.4922;98.42432;WT;TRACKING;TRACKING;-;-;-;HYDROCHLORICACID;-;-;-;NELSEN;-;-;-;ACETONE;-;-;-;SODIUM_HYPOCHLORITE;-;-;-;FORMICACID;-;-;-;ACETICACID;-;-;-;ETHANOL;-;-;-;PHOSPHORICACID;-;-;-;HYDROGENPEROXIDE;-;-;-;SODIUM_CHLORIDE;-;-;-;;
